Tweet ID,Tweet_Text,Information_Source,Information_Type,Informativeness,First_Responder,Disaster_Type,Secondary_Annotation,,,,,,
2.75E+17,"RT @govph: For the latest updates on #pabloPH, please visit http://t.co/5H8gdz6P",Government,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @GEGNewsRadio: Take note that Sendong was a tropical storm. #PabloPH is a typhoon. Keep safe.,Media,Sympathy and support,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @ABSCBNNews: PAGASA: Typhoon Bopha may hit Northern Mindanao on Tuesday.,Media,Caution and advice,Related and informative,Police,Typhoon,Dispatch,,,,,,
2.75E+17,According to news #PabloPH is 3x stronger than Sendong! :( #bopha I hope everyone is prepared.,Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,“@kylegalvezz: PAGASA: Typhoon Bopha expected to bring rains to Metro Manila on Thursday. No...”,Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,Happy Rubadabango Day is Trending lol madami naglalaba ngayon padating na kasi si Typhoon Pablo.,Eyewitness,Not applicable,Related - but not informative,Other,Typhoon,Other,,,,,,
2.75E+17,"After making landfall, Bopha will cross Vis-Min area. Effects will be felt in NCR and rest of Luzon on Thursday #pabloPH @interaksyon",Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @mindanaoan: Anybody in Butuan and Surigao? Kindly tweet updates re #PabloPH preps in your area. In CDO, roughly 15,000 ppl may need  ...",Media,Sympathy and support,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,Let's be prepared! RT @jeffcanoy: (Typhoon) Pablo is expected to be stronger than Sendong.,Eyewitness,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,@ABSCBNChannel2: Typhoon Pablo latest track http://t.co/O1oPhfsx,Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,Praying that typhoon Bopha will change its course and not make a direct hit in any of the islands. We do not... http://t.co/xU9LHkEB,Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @ABSCBNBreaking: Typhoon 'Bopha' stronger than 'Sendong' - PAGASA http://t.co/4U3E6UkO,Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @ANCALERTS: Typhoon Bopha will bring heavy-intense rains (20-30mm). PAGASA: Maghanda, maghanda, maghanda.",Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"CDO's LGU is busy prepping for Typhoon Pablo (Bopha), what's Iligan's LGU doing? Any update? #PabloPH",Eyewitness,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @ABSCBNNews: Typhoon 'Bopha' stronger than 'Sendong' - PAGASA http://t.co/QeN04cxu,Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @ABSCBNNews: Typhoon 'Bopha' stronger than 'Sendong' - PAGASA http://t.co/gsP2u00V,Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @jvejercito: Praying that typhoon Bopha will change its course and not make a direct hit in any of the islands. We do not... http:/ ...,Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @dprincessmaja: @piacayetano: “@GetReadyPinas: Typhoon Bopha #PabloPH expected to enter PH tonight. #GetReadyPinas” - Be safe everyone!,Outsiders,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,@ABSCBNBreaking: Typhoon 'Bopha' stronger than 'Sendong' - PAGASA http://t.co/MuT3V9Dz,Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,ComVal miners warned on typhoon; govt adopts #pabloPH hashtag: Disaster management officials on Sunday urged sma... http://t.co/xiv7HQYj,Business,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"Panira yung #PabloPH. Nakakainis, @OyyTanTan!",Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.75E+17,Nakakaloka ang parating na bagyong #PabloPH ingat po tayo lalo na mga taga mindanao!,Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @govph: Summary: Press briefing by @NDRRMC_Opcen on #PabloPH, December 2, 2012, 11:00 a.m. http://t.co/QjYW6IIm",Government,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @ANCALERTS: Typhoon Bopha will head to Visayas on Wednesday, then bring rains to Metro Manila on Thursday",Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @focfashionmusic: Prep for Typhoon Bopha: Stock 'em canned goods&amp;water, charge all electronix, and watch #MyParanormalRomance tod ...",Eyewitness,Donations and volunteering,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @DZMMTeleRadyo: Pananalasa ng Typhoon Bopha, pinaghahandaan na sa CDO http://t.co/F9qaqF9e http://t.co/M1rMacrU - be safe!",Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,@OyyAhh: Typhoon Pablo is expected to be stronger than Typhoon Sendong. Keep safe everyone. Keep calm and pray. :) wala ulit pasok! :))),Outsiders,Sympathy and support,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @JojoMalig: The Philippines had the most deaths caused by extreme-weather events last year. http://t.co/JKJxeX2U #PabloPH #Bopha,Outsiders,Affected individuals,Related and informative,Police,Typhoon,Dispatch,,,,,,
2.75E+17,RT @OyyAhh: Typhoon Pablo is expected to be stronger than Typhoon Sendong. Keep safe everyone. Keep calm and pray. :),Eyewitness,Sympathy and support,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,Heads up! (Photo not mine) #PabloPH http://t.co/4y521PEq,Outsiders,Not applicable,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @dost_pagasa: Typhoon BOPHA Satellite image as of 02/DEC/12 02:30PM http://t.co/0DTU8Aiu,Government,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @kuyakim_atienza: typhoon pablo is 700 kilometers wide RT @iamBOO12 @kuyakim_atienza kuya kim how big is typhoon pablo?,Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @noynoyaquino: [Adm-02] Camera image of Typhoon Bopha as it gets near the Philippine Area of Responsibility ... http://t.co/TncrrizB,Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,“@OyyAhh: Typhoon Pablo is expected to be stronger than Typhoon Sendong. Keep safe everyone. Keep calm and pray. :)” !,Outsiders,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @rapplerdotcom: #PabloPH: Davao City gearing up for possible flooding and landslides (via @karlosmanlupig). How are you preparing for ...,Media,Infrastructure and utilities,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @ABSCBNNews: [UPDATED] Typhoon 'Bopha' stronger than 'Sendong' - PAGASA http://t.co/70UnNToC,Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @inquirerdotnet: BREAKING: #PabloPH enters PH Area of Responsibility, located 900 km southeast of Hinatuan City | via @dost_pagasa",Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"NDRRMC: Incoming Typhoon Pablo may bring Sendong-like rains, winds: The powerful typhoon approaching the Philipp... http://t.co/cs9D9hTO",Government,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @ANCALERTS: PAGASA: Typhoon Pablo at 900 km southeast of Hinatuan, Surigao del Sur",Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,#PabloPh Palubugin mo mga barko ng China,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.75E+17,RT @ABSCBNNews: Typhoon ‘Pablo’ enters Philippines http://t.co/XneyQzeF,Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @dost_pagasa: Typhoon BOPHA Satellite image as of 02/DEC/12 06:30PM http://t.co/SAWUtWnO,Government,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,SUPER TYPHOON BOPHA (PABLO) UPDATE NUMBER 020 Issued: 7:00 PM PhT (10:00 GMT) Sunday 02 Dec 2012 Next Update:... http://t.co/C0df8dfw,Outsiders,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"Palau, Philippines brace for powerful Typhoon Bopha http://t.co/dAfr6xvQ",Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @dost_pagasa: At 8PM 02/DEC/2012: The eye of Typhoon PABLO was located at 870 km Southeast of Hinatuan, Surigao Del Sur (06.4 °N 13 ...",Government,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @maria_ressa: Keep this open for constant updates! LIVE: Typhoon Bopha / Pablo Updates http://t.co/qxR3f7sa via @rapplerdotcom,Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @GetReadyPinas: When #PabloPH hits your location,bring your family into the strongest part of the house (usually the smallest room) # ...",Outsiders,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"The eye of Typhoon PABLO was located at 820 km Southeast of Hinatuan,Surigao Del Sur #keepsafe everyone!",Outsiders,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"in bukidnon, stars are still visible. #pabloPH",Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.75E+17,RT @dost_pagasa: Typhoon PABLO Satellite image as of 02/DEC/12 08:30PM http://t.co/O7dwgVY1,Government,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @dost_pagasa: Typhoon PABLO Satellite image as of 02/DEC/12 08:30PM http://t.co/O7dwgVY1,Government,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,favorite hashtag in desperate and lazy times #walangpasok,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.75E+17,"🙏 Whenever I'm afraid, I will trust in You, Lord. 😊 Shoo away, typhoon Bopha!!! 😰😠😐 http://t.co/INXR7E4h",Eyewitness,Sympathy and support,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @gmanews: When will #PabloPH hit Mindanao? Will it hit Metro Manila? These questions (and more) can be answered here: http://t.co/d3q ...,Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,@ABSCBNNews: Typhoon ‘Pablo’ enters Philippine area of responsibility http://t.co/jfwVt5E5 - Be safe everyone..,Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @MatEick: #EU #Humanitarian #Aid ECHO monitoring #Typhoon #Bopha See latest flash report http://t.co/OoaNKUq3,Outsiders,Donations and volunteering,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @dost_pagasa: At 10:00PM 02/DEC/2012, the eye of Typhoon PABLO was located at 810 km Southeast of Hinatuan, Surigao Del Sur (cont)  ...",Government,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,God bless those who will be and are hit by the typhoon Pablo.,Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @ABSCBNBreaking: Typhoon ‘Pablo’ enters Philippine area of responsibility http://t.co/yNSW5GbQ,Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"Pag-asa: At 10:00PM 02/DEC/2012, the eye of Typhoon #PabloPH was located at 810 km Southeast of Hinatuan, Surigao... http://t.co/FHQIVZCH",Government,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"Praying for Phils.esp.those areas that will be affected by typhoon BOPHA.Pls.be prepared,stay safe &amp;pray!!!Our prayers are w/ u too!",Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @HUMNEWS: “@ANCALERTS #Typhoon #Pablo/ #Bopha now in #Philippines-expected 2bcome Super Storm after ravaging #SouthPacific http://t.c ...,Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,Follow PAGASA's tweets for more updates on typhoon pablo. http://t.co/mmmAmD5a,Government,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @dost_pagasa: At 11:00PM 02/DEC/2012, the eye of Typhoon PABLO was located @ 800 km Southeast of Hinatuan, Surigao Del Sur (cont) h ...",Government,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @dost_pagasa: WEATHER BULLETIN #2 TROPICAL CYCLONE WARNING: TYPHOON “#Pabloph” (BOPHA) ISSUED AT 11:00 PM, 02 DECEMBER (cont) http:// ...",Government,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"@nhymyat87 Acasia, Carmen #CDO #PabloPH",Eyewitness,Not applicable,Related - but not informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @interaksyon: ALERT | 'Pablo' likely to be the strongest typhoon to hit Philippines this year http://t.co/489AbAM0,Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @DepEd_PH: FYI: Twitter hashtags to monitor: TS Pablo gen. updates: #PabloPH. Class suspensions: #walangpasok. Relief and rescue: #re ...,Government,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @addusamahan: Ateneans, be on the lookout: http://t.co/oA1cRT6n  #PabloPh",NGOs,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,For all #PabloPH news stories and information log on to : http://t.co/IJOBYbDM @djstaana @Luchitweet @paolobediones @mykapalaran,Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,packing all my important docu on my @getFILED folder. Very handy and sturdy. Preparing for the storm tomorrow :( . #PabloPH,Eyewitness,Caution and advice,Related - but not informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @dost_pagasa: UPDATE ON  TYPHOON “PABLO”  (International Name: Typhoon Bopha)  Typhoon Bopha has entered the Philippine (cont) http:/ ...,Government,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,Con mi princesa @RatonaLa y mis niños #pablo y #juancarlos,Not labeled,Not labeled,Not applicable,Other,Typhoon,Other,,,,,,
2.75E+17,RT @JimCantore: Powerful #Bopha to strike island of Palau east of Philippines within 24 hours: http://t.co/mRMNvmrE  http://t.co/3PzLWByS,Outsiders,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,“@govph: There is a big possibility that Metro Manila won't be hit or affected by #PabloPH | via @dost_pagasa”salamat naman!,Government,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @ANCALERTS: Typhoon Bopha will head to Visayas on Wednesday, then bring rains to Metro Manila on Thursday",Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,@renielbarroso ur right on that. Better safe than sorry po. :) #PabloPH,Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.75E+17,"At 3:00AM 03/DEC/2012, the eye of Typhoon #PabloPH was located @ 715 km Southeast of Hinatuan, Surigao Del Sur... http://t.co/EwudHfSE",Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @gmanews: At 4AM, eye of #PabloPH was @ 700km SE of Hinatuan, Surigao del Sur. Max. sustained winds of 175kph; gustiness up to 210kph ...",Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @dost_pagasa: Typhoon #PabloPh has slightly weakened as it moves West Northwestward,Government,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @UnangHirit: NDRMCC, naka-red alert na para sa posibleng epekto ng Bagyong #PabloPH #UnangHirit",Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @solartvnews: DENR advises Mines and Geosciences Bureau, other field agencies to issue geohazard advisories for Typhoon Pablo #SolarD ...",Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @rapplerdotcom: #WeatherAlert: Typhoon 'Pablo' closer, more areas under storm signals http://t.co/Ui7oPeKG #PabloPH #Bopha",Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @AmorySB: Stay safe, Philippines! Sending out love &amp; prayers all d way from Jakarta, Indonesia. #PabloPH",Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @maria_ressa: LIVE: Typhoon Bopha / Pablo Updates http://t.co/qxR3f7sa via @rapplerdotcom,Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @TheWatchers_: Typhoon Bopha moves toward Philippines http://t.co/8xpxemWg,Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @DZMMTeleRadyo: Signal No. 3: Surigao del Sur, Surigao del Norte, Siargao, Dinagat, Agusan N, Agusan del Sur, Davao Oriental #PabloPH",Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"Signal No. 2: S. Leyte, Bohol, Camiguin, Bukidnon, Davao del Norte, Misamis Oriental, Compostela Valley #PabloPH",Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"hope i can come home early today should there be a heavy rainfall later. Either way, am happy we are now prepared. #PabloPH",Eyewitness,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @ANCALERTS: #PabloPH Forecast track  http://t.co/bD7BGu9O,Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,PAG-ASA: Typhoon PABLO has maintained its strength and is now heading towards Surigao Provinces.,Government,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,I will force my Mama and Ate's tomorrow not to go to work. They're very workaholic and can't afford to absent. Tsk. #Pablo,Eyewitness,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.75E+17,Sana walang duty... #PabloPH,Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @aleamse: 11:53 am.Heavy rain started on 11:53 at Siargao Island, Surigao del Norte. Please pray. Signal#3 #PabloPH #typhoonpablo",Outsiders,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
